empname,empemail,address,departmentid,phone
omkar,omkar@gmail.com,kolhapur,OC1003,980565422
omkar,omkar@gmail.com,kolhapur,OC1003,980565422
"Raj Desai",Raj@gmail.com,pune,RD1002,9119422729
omkar,omkar@gmail.com,sjksdkkd,5,980565422
omkar,omkar@gmail.com,sjksdkkd,5,980565422
omkar,omkar@gmail.com,sjksdkkd,5,980565422
omkar,omkar@gmail.com,sjksdkkd,5,980565422
omkar,omkar@gmail.com,sjksdkkd,5,980565422
omkar,omkar@gmail.com,sjksdkkd,5,980565422
"kedar Shinde",KD@gmail.com,kolhapur,KD1003,980565422
"kedar Shinde",KD@gmail.com,kolhapur,KD1003,9119422727
"kedar Shinde",KD@gmail.com,kolhapur,KD1003,9119422727
"sarita charate",Sarita@gmail.com,kolhapur,SC10023,980565422
